movie_title,release_date,genre,mpaa_rating, total_gross , inflation_adjusted_gross 
A Bug's Life,11/20/1998,Adventure,G," $162,798,565 "," $288,981,698 "
Enemy of the State,11/20/1998,Action,R," $111,549,836 "," $198,472,008 "
Rushmore,12/11/1998,Black Comedy,R," $17,105,219 "," $28,392,518 "
A Civil Action,12/25/1998,Drama,PG-13," $56,709,981 "," $94,139,530 "
Mighty Joe Young,12/25/1998,Adventure,PG," $50,632,037 "," $87,906,042 "
My Favorite Martian,2/12/1999,Comedy,PG," $36,850,101 "," $61,150,849 "
The Other Sister,2/26/1999,Romantic Comedy,PG-13," $27,807,627 "," $46,145,331 "
Doug's 1st Movie,3/26/1999,Adventure,G," $19,421,271 "," $32,228,598 "
Ten Things I Hate About You,3/31/1999,Romantic Comedy,PG-13," $38,177,966 "," $63,354,375 "
Endurance,5/14/1999,,PG," $229,128 "," $380,218 "
Instinct,6/4/1999,Drama,R," $34,105,207 "," $56,595,842 "
Tarzan,6/16/1999,Adventure,G," $171,091,819 "," $283,900,254 "
Summer of Sam,7/2/1999,Drama,R," $19,288,130 "," $32,007,656 "
Inspector Gadget,7/23/1999,Comedy,PG," $97,387,965 "," $161,610,341 "
The Sixth Sense,8/6/1999,Thriller/Suspense,PG-13," $293,506,292 "," $485,424,724 "
The 13th Warrior,8/27/1999,Action,R," $32,698,899 "," $54,262,148 "
Breakfast of Champions,9/17/1999,Comedy,R," $178,287 "," $295,851 "
Mumford,9/24/1999,Comedy,R," $4,559,569 "," $7,566,363 "
"Mystery, Alaska",10/1/1999,Comedy,R," $8,891,623 "," $14,755,189 "
The Straight Story,10/15/1999,Drama,G," $6,197,866 "," $10,111,144 "
The Insider,11/5/1999,Drama,R," $28,965,197 "," $47,794,214 "
Toy Story 2,11/19/1999,Adventure,G," $245,852,179 "," $404,450,426 "
Cradle Will Rock,12/8/1999,Drama,R," $2,899,970 "," $4,609,153 "
Deuce Bigalow: Male Gigolo,12/10/1999,Comedy,R," $65,535,067 "," $106,921,374 "
Bicentennial Man,12/17/1999,Drama,PG," $58,220,776 "," $94,838,225 "
Play it to the Bone,12/24/1999,Comedy,R," $8,427,204 "," $13,180,524 "
Fantasia 2000 (IMAX),1/1/2000,Musical,G," $60,507,228 "," $94,852,354 "
Gun Shy,2/4/2000,Comedy,R," $1,638,202 "," $2,562,155 "
The Tigger Movie,2/11/2000,Adventure,G," $45,542,421 "," $71,228,678 "
Mission to Mars,3/10/2000,Adventure,PG," $60,874,615 "," $95,208,344 "
High Fidelity,3/31/2000,Comedy,R," $27,277,055 "," $42,661,516 "
Keeping the Faith,4/14/2000,Romantic Comedy,PG-13," $37,036,404 "," $57,925,202 "
Dinosaur,5/19/2000,Adventure,PG," $137,748,063 "," $215,438,985 "
Shanghai Noon,5/26/2000,Western,PG-13," $56,932,305 "," $89,042,541 "
Gone in 60 Seconds,6/9/2000,Action,PG-13," $101,643,008 "," $158,970,411 "
Fantasia 2000 (Theatrical Release),6/16/2000,Musical,G," $9,103,630 "," $14,238,144 "
The Kid,7/7/2000,Comedy,PG," $69,688,384 "," $108,993,148 "
Coyote Ugly,8/4/2000,Drama,PG-13," $60,786,269 "," $95,070,168 "
The Crew,8/25/2000,Comedy,PG-13," $13,019,253 "," $20,362,201 "
Duets,9/15/2000,Drama,R," $4,734,235 "," $7,404,372 "
Remember the Titans,9/29/2000,Drama,PG," $115,654,751 "," $180,742,479 "
Unbreakable,11/22/2000,Thriller/Suspense,PG-13," $94,999,143 "," $148,208,901 "
102 Dalmatians,11/22/2000,Comedy,G," $66,941,559 "," $104,055,039 "
The Emperor's New Groove,12/15/2000,Adventure,G," $89,296,573 "," $136,789,252 "
"O Brother, Where Art Thou?",12/22/2000,Comedy,PG-13," $45,506,619 "," $67,922,002 "
Double Take,1/12/2001,Action,PG-13," $29,823,162 "," $44,418,589 "
Recess: School's Out,2/16/2001,Comedy,G," $36,696,761 "," $54,656,124 "
Just Visiting,4/6/2001,Comedy,PG-13," $4,777,007 "," $7,114,869 "
Pearl Harbor,5/25/2001,Action,PG-13," $198,539,855 "," $295,705,112 "
Atlantis: The Lost Empire,6/8/2001,Adventure,PG," $84,052,762 "," $125,188,122 "
crazy/beautiful,6/29/2001,Drama,PG-13," $16,929,123 "," $25,214,223 "
The Princess Diaries,8/3/2001,Comedy,G," $108,244,774 "," $161,218,928 "
Bubble Boy,8/24/2001,Comedy,PG-13," $5,002,310 "," $7,450,434 "
Max Keeble's Big Move,10/5/2001,Comedy,PG," $17,292,381 "," $25,749,730 "
Corky Romano,10/12/2001,Comedy,PG-13," $23,978,402 "," $35,705,805 "
High Heels and Low Lifes,10/26/2001,,R," $226,792 "," $337,782 "
"Monsters, Inc.",11/2/2001,Adventure,G," $289,423,425 "," $416,073,179 "
Out Cold,11/21/2001,Comedy,PG-13," $13,906,394 "," $20,700,691 "
The Royal Tenenbaums,12/14/2001,Black Comedy,R," $52,353,636 "," $76,758,193 "
Beauty and the Beast (IMAX),1/1/2002,Musical,G," $25,487,028 "," $36,980,311 "
Frank McKlusky C.I.,1/1/2002,,, $-   , $-   
Snow Dogs,1/18/2002,Comedy,PG," $81,150,692 "," $117,745,317 "
The Count of Monte Cristo,1/25/2002,Drama,PG-13," $54,228,104 "," $78,682,079 "
Peter Pan: Return to Neverland,2/15/2002,Adventure,G," $48,430,258 "," $70,269,715 "
Reign of Fire,2/19/2002,Action,PG-13," $43,061,982 "," $62,480,631 "
Sorority Boys,3/22/2002,Comedy,R," $10,198,766 "," $14,797,862 "
The Rookie,3/29/2002,Drama,G," $75,600,072 "," $109,691,666 "
Big Trouble,4/5/2002,Comedy,PG-13," $7,262,288 "," $10,537,188 "
ESPN's Ultimate X - The Movie,5/10/2002,Documentary,PG," $4,197,175 "," $6,089,874 "
Bad Company,6/7/2002,Action,PG-13," $30,157,016 "," $43,756,218 "
Lilo & Stitch,6/21/2002,Adventure,PG," $145,771,527 "," $211,506,702 "
The Country Bears,7/26/2002,Adventure,G," $16,988,996 "," $24,650,121 "
Signs,8/2/2002,Thriller/Suspense,PG-13," $227,965,690 "," $330,754,439 "
Sen to Chihiro no Kamikakushi,9/20/2002,Adventure,PG," $10,049,886 "," $14,338,992 "
Sweet Home Alabama,9/27/2002,Comedy,PG-13," $127,214,072 "," $184,521,151 "
Moonlight Mile,9/27/2002,Drama,PG-13," $6,830,957 "," $9,909,094 "
Tuck Everlasting,10/11/2002,Drama,PG," $19,161,999 "," $27,789,959 "
The Santa Clause 2,11/1/2002,Comedy,G," $139,225,854 "," $201,959,095 "
Treasure Planet,11/27/2002,Adventure,PG," $38,120,554 "," $55,189,145 "
The Hot Chick,12/13/2002,Comedy,PG-13," $35,081,550 "," $50,624,654 "
25th Hour,12/19/2002,Drama,R," $13,084,595 "," $18,325,463 "
The Recruit,1/31/2003,Thriller/Suspense,PG-13," $52,784,696 "," $73,793,522 "
Shanghai Knights,2/7/2003,Adventure,PG-13," $60,470,220 "," $84,537,962 "
The Jungle Book 2,2/14/2003,Adventure,G," $47,901,582 "," $66,966,883 "
Bringing Down the House,3/7/2003,Comedy,PG-13," $132,675,402 "," $185,481,530 "
Piglet's Big Movie,3/21/2003,Comedy,G," $23,103,423 "," $32,298,812 "
Ghosts of the Abyss,4/11/2003,Documentary,G," $17,093,668 "," $23,803,108 "
Holes,4/18/2003,Drama,PG," $67,383,924 "," $94,203,395 "
The Lizzie McGuire Movie,5/2/2003,Comedy,PG," $42,734,455 "," $59,743,191 "
Finding Nemo,5/30/2003,Adventure,G," $380,529,370 "," $518,148,559 "
Pirates of the Caribbean: The Curse o…,7/9/2003,Adventure,PG-13," $305,411,224 "," $426,967,926 "
Freaky Friday,8/6/2003,Comedy,PG," $110,222,438 "," $154,090,360 "
Open Range,8/15/2003,Western,R," $58,331,254 "," $81,547,672 "
Cold Creek Manor,9/19/2003,Thriller/Suspense,R," $21,384,035 "," $29,895,090 "
Under the Tuscan Sun,9/26/2003,Comedy,PG-13," $43,601,508 "," $60,944,053 "
Veronica Guerin,10/17/2003,Drama,R," $1,569,918 "," $2,194,759 "
Brother Bear,10/24/2003,Adventure,G," $85,336,277 "," $119,218,333 "
The Haunted Mansion,11/26/2003,Comedy,PG," $75,817,994 "," $105,775,678 "
Calendar Girls,12/19/2003,Comedy,PG-13," $31,011,616 "," $42,379,650 "
Young Black Stallion,12/25/2003,Adventure,G," $6,751,389 "," $9,254,344 "
Teacher's Pet: The Movie,1/16/2004,Comedy,PG," $6,491,969 "," $8,812,764 "
Miracle,2/6/2004,Drama,PG," $64,378,093 "," $87,392,478 "
Confessions of a Teenage Drama Queen,2/20/2004,Comedy,PG," $29,331,068 "," $39,816,568 "
Hidalgo,3/5/2004,Western,PG-13," $67,286,731 "," $91,340,921 "
The Ladykillers,3/26/2004,Comedy,R," $39,692,139 "," $53,881,593 "
Home on the Range,4/2/2004,Comedy,PG," $50,026,353 "," $67,910,166 "
The Alamo,4/9/2004,Western,PG-13," $22,406,362 "," $30,416,359 "
Raising Helen,5/28/2004,Comedy,PG-13," $37,485,528 "," $50,886,144 "
Around the World in 80 Days,6/16/2004,Adventure,PG," $24,004,159 "," $32,585,356 "
America's Heart and Soul,7/2/2004,Documentary,Not Rated," $314,000 "," $426,246 "
King Arthur,7/7/2004,Adventure,PG-13," $51,877,963 "," $70,423,706 "
The Village,7/30/2004,Thriller/Suspense,PG-13," $114,197,520 "," $155,021,748 "
The Princess Diaries 2: Royal Engagement,8/11/2004,Romantic Comedy,G," $95,149,435 "," $129,164,207 "
Mr. 3000,9/17/2004,Comedy,PG-13," $21,800,302 "," $29,593,641 "
The Last Shot,9/24/2004,Comedy,R," $463,730 "," $629,502 "
Ladder 49,10/1/2004,Action,PG-13," $74,541,707 "," $101,161,045 "
The Incredibles,11/5/2004,Adventure,PG," $261,441,092 "," $354,488,708 "
National Treasure,11/19/2004,Adventure,PG," $173,005,002 "," $234,069,353 "
The Life Aquatic with Steve Zissou,12/10/2004,Comedy,R," $24,006,726 "," $32,198,655 "
Aliens of the Deep,1/28/2005,Documentary,G," $8,968,684 "," $11,740,942 "
Pooh's Heffalump Movie,2/11/2005,Adventure,G," $18,098,433 "," $23,801,835 "
The Pacifier,3/4/2005,Comedy,PG," $113,006,880 "," $148,619,029 "
Ice Princess,3/18/2005,Comedy,G," $24,381,334 "," $32,064,685 "
A Lot Like Love,4/22/2005,Comedy,PG-13," $21,835,784 "," $28,716,947 "
The Hitchhiker's Guide to the Galaxy,4/29/2005,Comedy,PG," $51,019,112 "," $67,096,891 "
Hauru no ugoku shiro,6/10/2005,Adventure,PG," $4,710,455 "," $6,194,870 "
Herbie: Fully Loaded,6/22/2005,Comedy,G," $66,010,682 "," $86,812,798 "
Dark Water,7/8/2005,Thriller/Suspense,PG-13," $25,473,093 "," $33,500,491 "
Sky High,7/29/2005,Adventure,PG," $63,939,454 "," $84,088,854 "
Valiant,8/19/2005,Adventure,G," $19,478,106 "," $25,616,292 "
Flightplan,9/23/2005,Thriller/Suspense,PG-13," $89,706,988 "," $117,960,425 "
The Greatest Game Ever Played,9/30/2005,Drama,PG," $15,331,289 "," $20,162,672 "
Shopgirl,10/21/2005,Drama,R," $10,284,523 "," $13,519,621 "
Chicken Little,11/4/2005,Adventure,G," $135,386,665 "," $177,954,661 "
"The Chronicles of Narnia: The Lion, t…",12/9/2005,Adventure,PG," $291,710,957 "," $381,557,539 "
Casanova,12/25/2005,Drama,R," $11,304,403 "," $14,574,087 "
Glory Road,1/13/2006,Drama,PG," $42,647,449 "," $54,888,236 "
Annapolis,1/27/2006,Drama,PG-13," $17,127,992 "," $22,044,113 "
Roving Mars,1/27/2006,Documentary,G," $10,407,978 "," $12,948,025 "
Eight Below,2/17/2006,Adventure,PG," $81,612,565 "," $105,037,235 "
The Shaggy Dog,3/10/2006,Comedy,PG," $61,123,569 "," $78,667,428 "
Stay Alive,3/24/2006,Horror,PG-13," $23,086,480 "," $29,712,825 "
The Wild,4/14/2006,Adventure,G," $37,384,046 "," $48,114,115 "
Stick It,4/28/2006,Comedy,PG-13," $26,910,736 "," $34,634,731 "
Goal! The Dream Begins,5/12/2006,Drama,PG," $4,283,255 "," $5,512,647 "
Cars,6/9/2006,Comedy,G," $244,082,982 "," $314,140,384 "
Pirates of the Caribbean: Dead Man’…,7/7/2006,Adventure,PG-13," $423,315,812 "," $544,817,142 "
Step Up,8/11/2006,Drama,PG-13," $65,328,121 "," $84,078,780 "
Invincible,8/25/2006,Drama,PG," $57,806,952 "," $74,398,864 "
The Guardian,9/29/2006,Action,PG-13," $55,011,732 "," $70,801,353 "
The Prestige,10/20/2006,Thriller/Suspense,PG-13," $53,089,891 "," $68,289,913 "
Tim Burton's The Nightmare Before Chr…,10/20/2006,Musical,PG," $24,732,041 "," $30,737,517 "
The Santa Clause 3: The Escape Clause,11/3/2006,Comedy,G," $84,500,122 "," $108,694,869 "
Déjà Vu,11/22/2006,Thriller/Suspense,PG-13," $64,038,616 "," $82,267,038 "
Apocalypto,12/8/2006,Adventure,R," $50,866,635 "," $64,959,548 "
Primeval,1/12/2007,Adventure,R," $10,597,734 "," $12,985,302 "
Bridge to Terabithia,2/16/2007,Drama,PG," $82,234,139 "," $100,760,721 "
Wild Hogs,3/2/2007,Comedy,PG-13," $168,213,584 "," $206,110,533 "
Meet the Robinsons,3/30/2007,Adventure,G," $97,822,171 "," $119,860,589 "
The Lookout,3/30/2007,Drama,R," $4,600,585 "," $5,637,048 "
The Hoax,4/6/2007,Drama,R," $7,164,995 "," $8,779,196 "
The Invisible,4/27/2007,Thriller/Suspense,PG-13," $20,568,319 "," $25,202,168 "
Pirates of the Caribbean: At World’…,5/24/2007,Adventure,PG-13," $309,420,425 "," $379,129,960 "
Ratatouille,6/29/2007,Comedy,G," $206,445,654 "," $252,955,933 "
Underdog,8/3/2007,Adventure,PG," $43,760,605 "," $53,619,462 "
The Game Plan,9/22/2007,Comedy,PG," $90,648,202 "," $111,010,758 "
Dan in Real Life,10/20/2007,Romantic Comedy,PG-13," $47,642,963 "," $58,350,234 "
Enchanted,11/21/2007,Romantic Comedy,PG," $127,706,877 "," $156,074,310 "
National Treasure 2: Book of Secrets,12/21/2007,Adventure,PG," $219,961,501 "," $267,003,525 "
Hannah Montana/Miley Cyrus: Best of B…,2/1/2008,Concert/Performance,G," $65,281,781 "," $76,646,993 "
Step Up 2 the Streets,2/14/2008,Drama,PG-13," $58,017,783 "," $68,118,371 "
College Road Trip,3/7/2008,Comedy,G," $45,610,425 "," $53,550,960 "
The Chronicles of Narnia: Prince Caspian,5/16/2008,Adventure,PG," $141,621,490 "," $166,277,038 "
WALL-E,6/27/2008,Adventure,G," $223,808,164 "," $262,771,918 "
Swing Vote,8/1/2008,Comedy,PG-13," $16,289,867 "," $19,125,841 "
Goal! 2: Living the Dream...,8/29/2008,Drama,PG-13," $225,067 "," $264,247 "
Miracle at St. Anna,9/26/2008,Drama,R," $7,916,887 "," $9,295,171 "
Beverly Hills Chihuahua,10/3/2008,Comedy,PG," $94,514,402 "," $110,932,022 "
Morning Light,10/17/2008,Documentary,PG," $275,093 "," $322,979 "
High School Musical 3: Senior Year,10/24/2008,Musical,G," $90,559,416 "," $106,308,538 "
Bolt,11/21/2008,Comedy,PG," $114,053,759 "," $133,702,498 "
Bedtime Stories,12/25/2008,Comedy,PG," $110,101,975 "," $128,039,679 "
Confessions of a Shopaholic,2/13/2009,Romantic Comedy,PG," $44,277,350 "," $49,767,744 "
Jonas Brothers: The 3D Concert Experi…,2/27/2009,Concert/Performance,G," $38,174,685 "," $38,174,685 "
Race to Witch Mountain,3/13/2009,Adventure,PG," $67,172,594 "," $75,501,997 "
Hannah Montana the Movie,4/10/2009,Drama,G," $79,576,189 "," $89,443,640 "
Earth,4/22/2009,Documentary,G," $32,011,576 "," $35,981,010 "
Up,5/29/2009,Adventure,PG," $293,004,164 "," $329,336,681 "
The Proposal,6/19/2009,Romantic Comedy,PG-13," $163,958,031 "," $184,288,829 "
G-Force,7/24/2009,Adventure,PG," $119,436,770 "," $134,246,932 "
Gake no ue no Ponyo,8/14/2009,Adventure,G," $15,090,399 "," $16,961,607 "
X Games 3D: The Movie,8/21/2009,Documentary,PG," $1,391,434 "," $1,563,976 "
Walt and El Grupo,9/10/2009,Documentary,PG," $20,521 "," $23,064 "
Surrogates,9/25/2009,Action,PG-13," $38,577,772 "," $43,361,416 "
Toy Story 3D Double Feature,10/2/2009,Adventure,G," $30,702,446 "," $34,509,545 "
Disney's A Christmas Carol,11/6/2009,Drama,PG," $137,855,863 "," $154,927,105 "
The Princess and the Frog,11/25/2009,Adventure,G," $104,400,899 "," $116,316,457 "
Old Dogs,11/25/2009,Comedy,PG," $49,492,060 "," $55,503,929 "
When in Rome,1/29/2010,Romantic Comedy,PG-13," $32,680,633 "," $34,917,330 "
Alice in Wonderland,3/5/2010,Adventure,PG," $334,191,110 "," $357,063,499 "
Waking Sleeping Beauty,3/26/2010,Documentary,PG," $80,741 "," $86,264 "
The Last Song,3/31/2010,Drama,PG," $62,950,384 "," $67,258,772 "
Oceans,4/22/2010,Documentary,G," $19,422,319 "," $20,751,600 "
Prince of Persia: Sands of Time,5/28/2010,Action,PG-13," $90,759,676 "," $96,971,361 "
Toy Story 3,6/18/2010,Adventure,G," $415,004,880 "," $443,408,255 "
The Sorcerer's Apprentice,7/14/2010,Adventure,PG," $63,150,991 "," $67,473,105 "
Step Up 3D,8/6/2010,Drama,PG-13," $42,400,223 "," $45,302,137 "
Gedo Senki (Tales from Earthsea),8/13/2010,Adventure,PG-13," $48,658 "," $51,988 "
You Again,9/24/2010,Comedy,PG," $25,702,053 "," $27,461,121 "
Secretariat,10/8/2010,Drama,PG," $59,699,513 "," $63,781,920 "
Tangled,11/24/2010,Adventure,PG," $200,821,936 "," $214,388,548 "
Tron: Legacy,12/17/2010,Adventure,PG," $172,062,763 "," $183,619,259 "
Gnomeo and Juliet,2/11/2011,Comedy,G," $99,967,670 "," $106,270,797 "
I am Number Four,2/18/2011,Adventure,PG-13," $55,100,437 "," $58,574,607 "
Mars Needs Moms,3/11/2011,Adventure,PG," $21,392,758 "," $22,741,603 "
African Cats,4/22/2011,Documentary,G," $15,428,747 "," $16,401,551 "
Zokkomon,4/22/2011,Adventure,PG," $2,815 "," $2,984 "
Prom,4/29/2011,Comedy,PG," $10,130,219 "," $10,768,946 "
Pirates of the Caribbean: On Stranger…,5/20/2011,Adventure,PG-13," $241,063,875 "," $256,263,359 "
Cars 2,6/24/2011,Adventure,G," $191,450,875 "," $203,522,177 "
Winnie the Pooh,7/15/2011,Adventure,G," $26,692,846 "," $28,375,869 "
The Help,8/10/2011,Drama,PG-13," $169,705,587 "," $180,404,976 "
Fright Night,8/19/2011,Horror,R," $18,298,649 "," $19,452,402 "
Real Steel,10/7/2011,Action,PG-13," $85,463,309 "," $90,848,019 "
The Muppets,11/23/2011,Comedy,PG," $88,625,922 "," $94,189,503 "
War Horse,12/25/2011,Drama,PG-13," $79,883,359 "," $84,762,149 "
The Secret World of Arietty,2/17/2012,Adventure,G," $19,192,510 "," $20,325,733 "
John Carter,3/9/2012,Adventure,PG-13," $73,058,679 "," $77,372,445 "
Chimpanzee,4/20/2012,Documentary,G," $28,965,459 "," $30,675,725 "
The Avengers,5/4/2012,Action,PG-13," $623,279,547 "," $660,081,224 "
Brave,6/22/2012,Adventure,PG," $237,282,182 "," $251,292,441 "
People Like Us,6/29/2012,Drama,PG-13," $12,431,792 "," $13,165,822 "
The Odd Life of Timothy Green,8/15/2012,Drama,PG," $51,853,450 "," $54,914,942 "
Frankenweenie,10/5/2012,Comedy,PG," $35,287,788 "," $37,363,513 "
Wreck-It Ralph,11/2/2012,Adventure,PG," $189,412,677 "," $200,354,959 "
Lincoln,11/9/2012,Drama,PG-13," $182,207,973 "," $192,122,330 "
Oz the Great and Powerful,3/8/2013,Adventure,PG," $234,770,996 "," $243,434,130 "
Iron Man 3,5/3/2013,Action,PG-13," $408,992,272 "," $424,084,233 "
Monsters University,6/21/2013,Adventure,G," $268,488,329 "," $278,395,641 "
The Lone Ranger,7/2/2013,Western,PG-13," $89,302,115 "," $92,597,388 "
Disney Planes,8/9/2013,Comedy,PG," $90,282,580 "," $93,614,037 "
The Fifth Estate,10/18/2013,Drama,R," $3,254,172 "," $3,374,251 "
Thor: The Dark World,11/8/2013,Adventure,PG-13," $206,362,140 "," $213,962,184 "
Kaze Tachinu,11/8/2013,Drama,PG-13," $5,201,879 "," $5,367,415 "
Frozen,11/22/2013,Adventure,PG," $400,738,009 "," $414,997,174 "
Delivery Man,11/22/2013,Comedy,PG-13," $30,659,817 "," $31,787,136 "
Saving Mr. Banks,12/13/2013,Drama,PG-13," $83,299,761 "," $86,249,969 "
Need for Speed,3/14/2014,Action,PG-13," $43,568,507 "," $44,955,015 "
Muppets Most Wanted,3/21/2014,Comedy,PG," $51,178,893 "," $52,807,594 "
Captain America: The Winter Soldier,4/4/2014,Action,PG-13," $259,746,958 "," $268,013,076 "
Bears,4/18/2014,Documentary,G," $17,780,194 "," $18,346,024 "
Million Dollar Arm,5/10/2014,Drama,PG," $36,447,959 "," $37,607,865 "
Maleficent,5/30/2014,Adventure,PG," $241,407,328 "," $249,089,809 "
Planes: Fire and Rescue,7/18/2014,Adventure,PG," $59,157,732 "," $61,040,349 "
Guardians of the Galaxy,8/1/2014,Adventure,PG-13," $333,172,112 "," $343,771,168 "
The Hundred-Foot Journey,8/8/2014,Romantic Comedy,PG," $54,235,441 "," $55,961,409 "
"Alexander and the Terrible, Horrible,…",10/10/2014,Comedy,PG," $66,954,149 "," $69,055,550 "
Big Hero 6,11/7/2014,Adventure,PG," $222,527,828 "," $229,249,222 "
Into the Woods,12/25/2014,Musical,PG," $128,002,372 "," $130,894,237 "
Strange Magic,1/23/2015,Adventure,PG," $12,429,583 "," $12,429,583 "
"McFarland, USA",2/20/2015,Drama,PG," $44,480,275 "," $44,480,275 "
Cinderella,3/13/2015,Drama,PG," $201,151,353 "," $201,151,353 "
Monkey Kingdom,4/17/2015,Documentary,G," $16,432,322 "," $16,432,322 "
Avengers: Age of Ultron,5/1/2015,Action,PG-13," $459,005,868 "," $459,005,868 "
Tomorrowland,5/22/2015,Adventure,PG," $93,436,322 "," $93,436,322 "
Inside Out,6/19/2015,Adventure,PG," $356,461,711 "," $356,461,711 "
Ant-Man,7/17/2015,Action,PG-13," $180,202,163 "," $180,202,163 "
Bridge of Spies,10/16/2015,Thriller/Suspense,PG-13," $72,313,754 "," $72,313,754 "
The Good Dinosaur,11/25/2015,Adventure,PG," $123,087,120 "," $123,087,120 "
Star Wars Ep. VII: The Force Awakens,12/18/2015,Adventure,PG-13," $936,662,225 "," $936,662,225 "
The Finest Hours,1/29/2016,Thriller/Suspense,PG," $27,569,558 "," $27,569,558 "
Zootopia,3/4/2016,Adventure,PG," $341,268,248 "," $341,268,248 "
The Jungle Book,4/15/2016,Adventure,PG," $364,001,123 "," $364,001,123 "
A Beautiful Planet,4/29/2016,Documentary,G," $7,895,708 "," $7,895,708 "
Captain America: Civil War,5/6/2016,Action,PG-13," $408,084,349 "," $408,084,349 "
Alice Through the Looking Glass,5/27/2016,Adventure,PG," $77,042,381 "," $77,042,381 "
Finding Dory,6/17/2016,Adventure,PG," $486,295,561 "," $486,295,561 "
The BFG,7/1/2016,Adventure,PG," $55,483,770 "," $55,483,770 "
Pete’s Dragon,8/12/2016,Adventure,PG," $76,233,151 "," $76,233,151 "
The Light Between Oceans,9/2/2016,Drama,PG-13," $12,545,979 "," $12,545,979 "
Queen of Katwe,9/23/2016,Drama,PG," $8,874,389 "," $8,874,389 "
Doctor Strange,11/4/2016,Adventure,PG-13," $232,532,923 "," $232,532,923 "
Moana,11/23/2016,Adventure,PG," $246,082,029 "," $246,082,029 "
Rogue One: A Star Wars Story,12/16/2016,Adventure,PG-13," $529,483,936 "," $529,483,936 "
